id,time,SSRT,SSRT1,SSRT2,SSRT3,SSRT4,rt_nth,MSSD,NTrial,NResp,NInclude,MRT_Go,MRT_Stop,PE_Go,PE_Stop,SSSD,MSSD1,MSSD2,MSSD3,MSSD4,SSSD1,SSSD2,SSSD3,SSSD4
15,2014/5/18 9:15,215.8236003,178.1030096,237.3887238,206.8331683,239.4253087,384.25614,168.4325397,256,256,243,380.1741816,140.961417,0.005586592,0.515625,27.49076018,204.2857143,145,175.5555556,148.8888889,1,1,1,1
16,2014/5/18 8:51,134.19110771249993,74.62869308,142.3938785,48.92165631,188.562341,391.1438785,278.8510101,256,256,255,450.8601055,88.29879141,0.015706806,0.4375,50.96427897,296.25,248.75,342.2222222,228.1818182,1,1,1,1
17,2014/5/18 8:59,162.4630808,152.1753823,212.9690331,130.017082,165.4751179,420.7468109,258.2837302,256,256,254,451.3628475,117.8173123,0.010526316,0.5,34.326343,268.5714286,207.7777778,284.2857143,272.5,1,1,1,1
18,2014/5/18 9:20,240.3211544,295.9064718,206.5663419,220.2989935,224.1207575,448.4064718,208.0853175,256,256,248,453.3086456,191.8752315,0.02173913,0.5,37.79678581,152.5,218.8888889,236.6666667,224.2857143,1,1,1,1
19,2014/5/18 8:59,215.6694961,211.6232524,218.7858749,219.8176968,216.0586022,398.7976527,183.1281566,256,256,229,397.4389056,181.5339627,0,0.53125,4.768922011,184.4444444,184.5454545,176.25,187.2727273,1,1,1,1
20,2014/5/17 9:12,180.3011246,148.7096387,247.5985276,175.8524959,152.0513414,390.0431881,209.7420635,256,256,247,397.3518711,116.5254738,0.005464481,0.515625,47.88380433,240,141.1111111,212.8571429,245,1,1,1,1
21,2014/5/17 9:18,188.0566523,172.8663684,233.8602237,210.0554265,146.3602237,443.8602237,255.8035714,256,255,255,473.6897153,113.1845389,0,0.5,35.84307137,260,210,255.7142857,297.5,1,1,1,1
22,2014/5/17 9:20,206.8213803,228.8025812,156.6585261,273.3251928,176.6001109,503.0713803,296.25,256,255,255,531.5102177,132.463086,0.005235602,0.484375,73.99167871,281.6666667,320,203.3333333,380,1,1,1,1
23,2014/5/17 8:51,186.9595369,146.3803855,204.7137188,238.6305714,167.3805714,424.3553702,237.3958333,256,256,249,448.6478295,144.9330972,0.016216216,0.46875,38.39725196,273.3333333,215,195,266.25,1,1,1,1
24,2014/5/17 8:55,245.0342479,294.1287492,161.2716064,256.9858921,271.5298555,486.1056765,241.0714286,256,253,243,481.552778,163.2684733,0.005586592,0.515625,57.07585357,190,322.8571429,227.1428571,224.2857143,1,1,1,1
25,2007/1/1 1:03,212.0031462,248.8342559,204.6221938,186.844416,205.566614,456.844416,244.8412698,256,256,255,459.424532,152.1338575,0,0.5,32.62088204,197.1428571,252.2222222,270,260,1,1,1,1
26,2014/5/17 10:02,263.7680896,NA,NA,274.8395181,252.696661,387.696661,123.9285714,256,256,251,384.7530372,196.287399,0.016042781,0.5625,15.65736444,115,142.5,112.8571429,135,0,0,1,1
27,2014/5/17 9:20,189.9870093,179.4724263,213.2224263,220.1636336,146.8303002,392.0356204,202.0486111,256,256,248,404.7018583,137.0394744,0.010869565,0.53125,34.98775782,208.75,175,175.5555556,248.8888889,1,1,1,1
28,2014/5/18 8:59,217.8112638,198.5164501,205.7386723,214.5481962,249.7274249,434.7755495,216.9642857,256,256,251,446.1031845,125.5852626,0.010695187,0.515625,10.61325579,228.8888889,221.6666667,212.8571429,204.4444444,1,1,1,1
29,2014/5/17 9:19,184.504397,169.3887512,189.1109734,181.5237377,193.309452,407.52027,223.015873,256,256,252,418.7502352,116.5086865,0.005319149,0.53125,11.24844268,227.5,207.7777778,234.2857143,222.5,1,1,1,1
30,2014/5/17 9:08,177.5575955,175.0531289,151.5093644,191.5093644,208.6522216,497.8552145,320.297619,256,256,253,525.7514176,127.9375617,0,0.40625,28.06520792,298.3333333,360,320,302.8571429,1,1,1,1
31,2014/5/17 8:52,242.9715621,289.8019192,202.1828716,262.1828716,217.7185859,496.4685859,253.4970238,256,254,247,513.4111538,188.8704071,0.010928962,0.4375,40.26407349,206.6666667,294.2857143,234.2857143,278.75,1,1,1,1
32,2014/5/10 8:55,167.0586527,169.0568711,158.8077309,180.9068594,175.9068594,472.891986,305.8333333,256,254,253,500.4411886,79.32233106,0.010582011,0.453125,23.27373341,273.3333333,305,320,325,1,1,1,1
33,2014/5/10 9:06,197.8727793,207.0791285,199.618811,189.8961306,192.6237134,418.5076999,220.6349206,256,256,248,424.0045423,138.4509294,0.010869565,0.5,8.611507318,211.4285714,218.8888889,220,232.2222222,1,1,1,1
34,2014/5/10 9:11,203.3327901,215.3968153,175.3968153,235.3968153,196.689135,507.4994568,304.1666667,256,255,254,540.6635278,133.589034,0,0.390625,29.10708199,290,330,270,326.6666667,1,1,1,1
35,2007/1/1 1:33,204.9056501,NA,NA,204.9056501,218.54160100000001,374.9056501,170,256,255,250,391.8668071,154.0317481,0.059139785,0.4375,0,80,163.3333333,170,170,0,0,1,1
36,2014/5/11 9:03,248.2192553,NA,NA,NA,248.2192553,318.2192553,70,256,256,237,303.4486134,145.1083724,0.12716763,0.625,0,104.2857143,30,-5,70,0,0,0,1
37,2014/5/11 8:49,279.0354408,288.0740592,306.5186325,222.8678389,293.545524,417.0066709,137.9712302,256,254,244,406.1152683,219.9373616,0.033333333,0.515625,38.66348392,111.4285714,107.7777778,191.4285714,141.25,1,1,1,1
38,2014/5/11 8:45,134.19110771249993,154.3314629,8.447664394,90.74141961,77.83795638,351.47432,267.6948052,256,256,240,363.7776096,91.49221535,0.051136364,0.4375,54.46751544,197.1428571,330,270,273.6363636,1,1,1,1
39,2014/5/17 9:11,190.9393237,NA,NA,NA,187.4289613,359.272657,168.3333333,256,256,251,341.8144861,147.4335676,0.128342246,0.640625,0,-52.85714286,-228.3333333,-1.428571429,168.3333333,0,0,0,1
40,41845.36944,204.6386991,206.551053,223.0727456,173.2242607,213.7798163,432.7321334,228.0934343,256,256,245,441.4405321,159.5142993,0.016574586,0.484375,22.70984648,217.7777778,211.8181818,261.6666667,221.1111111,1,1,1,1
41,41784.37292,191.8825568,152.6883153,230.95694,215.2102211,172.3855114,378.3760633,186.4935065,256,256,251,381.9795641,132.2522295,0.016042781,0.484375,28.73682939,210,151.4285714,174.5454545,210,1,1,1,1
42,41784.38542,210.0016191,203.7069762,212.9133254,218.1514207,205.234754,521.484754,311.4831349,256,253,245,553.7482629,182.8863527,0,0.4375,6.763697982,317.7777778,308.5714286,303.3333333,316.25,1,1,1,1
43,2014/5/18 8:55,215.3476028,253.943833,218.4081187,200.9400027,193.4357274,412.693833,197.3462302,256,254,250,433.5540476,144.6992098,0.016129032,0.5,32.32773264,158.75,194.2857143,198.5714286,237.7777778,1,1,1,1
44,2014/5/18 8:52,171.9785543,237.0401132,110.6150134,185.9493209,170.0564637,424.1904049,252.2118506,256,256,254,445.6438776,129.5888776,0.015789474,0.515625,49.88983404,185.4545455,305,251.25,267.1428571,1,1,1,1
45,2014/5/18 8:56,220.060289,207.6074316,234.7502888,223.9016045,217.6074316,409.5245747,189.4642857,256,256,256,434.0371388,161.243888,0.010416667,0.453125,11.80013548,200,172.8571429,195,190,1,1,1,1
