id,time,NTrial,NResp,NInclude,PE,SPE,MRT,SRT,lisas_weight,IES,RCS,BS,LISAS,NTrial_Cong,NTrial_Incong,NResp_Cong,NResp_Incong,NInclude_Cong,NInclude_Incong,PE_Cong,PE_Incong,SPE_Cong,SPE_Incong,MRT_Cong,MRT_Incong,SRT_Cong,SRT_Incong,lisas_weight_Cong,lisas_weight_Incong,IES_Cong,IES_Incong,RCS_Cong,RCS_Incong,BS_Cong,BS_Incong,LISAS_Cong,LISAS_Incong,NTrial_diff,NResp_diff,NInclude_diff,PE_diff,SPE_diff,MRT_diff,SRT_diff,lisas_weight_diff,IES_diff,RCS_diff,BS_diff,LISAS_diff,NIHScore
21,2014/5/17 10:05,96,96,95,0.084210526,0.279176521,591.9581524,192.4233069,689.2531882,646.3910859,1.56394022,NA,650.0005261,48,48,48,48,47,48,0.063829787,0.104166667,0.247092248,0.308709278,516.1051642,669.5751635,131.1303204,214.514725,689.2531882,689.2531882,551.2941527,747.4327407,1.847075345,1.347738634,NA,NA,560.1000486,741.3723706,0,0,1,0.040336879,0.06161703,153.4699993,83.38440465,0,196.138588,-0.499336711,NA,181.2723221,1.6311109
22,2014/5/11 10:09,96,96,95,0,0,1056.072891,328.6702397,Inf,1056.072891,0.95687175,NA,NA,48,48,48,48,48,47,0,0,0,0,1067.050353,1044.861866,393.806759,249.0695508,Inf,Inf,1067.050353,1044.861866,0.937162897,0.97742738,NA,NA,NA,NA,0,0,-1,0,0,-22.18848723,-144.7372081,NA,-22.18848723,0.040264483,NA,NA,1.54205635
23,2007/1/1 2:01,96,96,89,0.011235955,0.105999788,729.0700124,167.6935948,1582.018209,737.3548989,1.465503841,NA,746.8454979,48,48,48,48,45,44,0,0.022727273,0,0.150755672,624.6605046,838.3357763,101.2852927,153.6243269,1582.018209,1582.018209,624.6605046,857.8319572,1.707594219,1.280151676,NA,NA,624.6605046,874.2907356,0,0,-1,0.022727273,0.150755672,213.6752717,52.33903421,0,233.1714526,-0.427442543,NA,249.630231,1.61127894
24,2014/5/10 9:55,96,96,88,0.011363636,0.106600358,644.5134378,149.7978073,1405.227992,651.9216382,1.661930676,NA,660.4819377,48,48,48,48,43,45,0.023255814,0,0.15249857,0,574.2422738,710.0998574,88.58158887,165.6326555,1405.227992,1405.227992,587.9147089,710.0998574,1.869445331,1.502136151,NA,NA,606.9219946,710.0998574,0,0,2,-0.023255814,-0.15249857,135.8575836,77.05106662,0,122.1851486,-0.36730918,NA,103.1778629,1.714044167
25,2014/5/10 9:52,96,96,94,0.063829787,0.245760205,879.953278,266.5537371,1084.609029,939.9500924,1.093661417,NA,949.1836416,48,48,48,48,47,47,0.042553191,0.085106383,0.204029709,0.282056673,815.3981722,947.5109468,253.0070992,266.4175406,1084.609029,1084.609029,851.638091,1035.6515,1.2055765,0.996910484,NA,NA,861.5517479,1039.818098,0,0,0,0.042553191,0.078026964,132.1127747,13.41044141,0,184.0134091,-0.208666015,NA,178.2663504,1.440222502
26,2014/5/18 9:46,96,96,94,0,0,688.842811,172.0167292,Inf,688.842811,1.482597451,NA,NA,48,48,48,48,46,48,0,0,0,0,619.2966536,755.4912118,130.0508343,181.895994,Inf,Inf,619.2966536,755.4912118,1.6849409,1.323642134,NA,NA,NA,NA,0,0,2,0,0,136.1945582,51.84515969,NA,136.1945582,-0.361298766,NA,NA,1.743537761
27,2014/5/18 10:24,96,96,92,0.010869565,0.104257207,988.8254445,307.9886585,2954.123434,999.6916582,1.044930098,NA,1020.935482,48,48,48,48,44,48,0,0.020833333,0,0.144337567,881.4665296,1089.331663,237.3423807,334.045333,2954.123434,2954.123434,881.4665296,1112.508932,1.237606936,0.901581017,NA,NA,881.4665296,1150.875901,0,0,4,0.020833333,0.144337567,207.865133,96.70295225,0,231.0424024,-0.336025919,NA,269.4093712,1.449666288
28,2014/5/18 9:54,96,96,92,0.054347826,0.227944973,1196.423847,469.9336268,2061.609962,1265.183839,0.824235239,NA,1308.467867,48,48,48,48,44,48,0.045454545,0.0625,0.210707055,0.244623027,991.738433,1387.463568,302.8523925,518.5111438,2061.609962,2061.609962,1038.964073,1479.961139,1.039683483,0.680157572,NA,NA,1085.447977,1516.31419,0,0,4,0.017045455,0.033915972,320.85295473124995,215.6587513,0,440.9970662,-0.359525911,NA,430.8662136,1.2160593
29,2014/5/17 10:08,96,96,94,0.063829787,0.245760205,662.1799731,147.017931,598.2169943,707.3286076,1.452273558,NA,700.3640366,48,48,48,48,48,46,0.041666667,0.086956522,0.201940937,0.284884925,609.4733013,719.9063279,118.1168842,154.9881276,598.2169943,598.2169943,635.9721405,788.4688354,1.573668939,1.343891325,NA,NA,634.3990094,771.925197,0,0,-2,0.045289855,0.082943988,110.4330266,36.87124339,0,152.4966949,-0.229777614,NA,137.5261876,1.610914012
30,2014/5/17 9:58,96,96,92,0.054347826,0.227944973,642.0139506,132.8620819,582.869103,678.9113041,1.526907331,NA,673.6916193,48,48,48,48,44,48,0,0.104166667,0,0.308709278,582.3418059,703.0738196,66.28868924,155.2386455,582.869103,582.869103,582.3418059,784.8265894,1.873314057,1.265653169,NA,NA,582.3418059,763.7893512,0,0,4,0.104166667,0.308709278,120.7320137,88.94995625,0,202.4847835,-0.607660887,NA,181.4475453,1.63842458
